country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Bulgaria,BG,BGR,7000039,,5,21-08-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,174,,23-08-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,0,01-03-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,11,,28-07-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,362,,15-04-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,1,,19-09-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,1,31-08-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,778,,19-04-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,14,,07-04-2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,,0,13-09-2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,05-06-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,0,14-07-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,208,19-04-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,3,08-08-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,166,,26-06-2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,17,31-05-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,169,,19-04-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,30-08-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,772,,10-03-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,2,08-07-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,0,01-02-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,1,12-06-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,,13-06-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,,0,11-03-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,21-04-2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,106,,04-08-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,,4,16-08-2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,48,,29-09-2020,"Epidemic intelligence, national daily data"
